id,fund_id,object_id,name,funded_at,raised_amount,raised_currency_code,source_url,source_description,created_at,updated_at
1,1,f:371,Second Fund,2008-12-16,300000000.0,USD,http://www.pehub.com/26194/dfj-dragon-raising-second-fund/,peHub,2008-12-17 03:07:16,2008-12-17 03:07:16
4,4,f:17,Sequoia Israel Fourth Fund,2008-12-17,200750000.0,USD,http://www.pehub.com/26725/sequoia-israel-raises-fourth-fund/,Sequoia Israel Raises Fourth Fund,2008-12-18 22:04:42,2008-12-18 22:04:42
5,5,f:951,Tenth fund,2008-08-11,650000000.0,USD,http://venturebeat.com/2008/08/11/interwest-closes-650m-fund/,Venture Beat,2008-12-31 09:47:51,2008-12-31 09:47:51
6,6,f:192,New funds acquire,,625000000.0,USD,http://venturebeat.com/2008/07/28/us-venture-partners-raises-625m-fund-for-new-investments/,U.S. Venture Partners raises $625M fund for new investments,2009-01-01 18:13:44,2009-01-01 18:16:27
7,7,f:519,Third fund,2008-05-20,200000000.0,USD,http://venturebeat.com/2008/05/20/disneys-steamboat-ventures-looking-to-raise-200m-fund/,Venture Beat,2009-01-03 09:51:58,2013-09-03 16:34:54
8,8,f:1811,Inventus Capital Partners Fund I LP,2007-11-30,51750000.0,USD,http://venturebeat.com/2008/01/14/kanwal-rekhis-india-focused-firm-inventus-raises-442m/,Kanwal Rekhiâs India-focused firm Inventus,2009-01-06 18:58:58,2010-09-03 21:46:06
9,9,f:849,Unattributed,2008-04-16,512000000.0,USD,http://venturebeat.com/2008/04/16/ftventures-raises-512m-fund-short-of-its-600m-target/,Venture Beat,2009-01-07 04:23:12,2009-01-07 04:23:27
10,10,f:1829,Sequoia Capital Investment,2007-09-23,5000000.0,USD,http://venturebeat.com/2007/10/23/sequoia-capital-invests-in-noah-a-chinese-wealth-management-co/,"Sequoia Capital invests in Noah, a Chinese wealth management co.",2009-01-07 16:12:25,2009-01-07 16:12:25
11,11,f:1846,Roll Up Strategy,2007-07-09,100000000.0,USD,http://venturebeat.com/2007/07/09/bertram-capital-raises-100m-more-for-rollup-strategy/,"Bertram Capital raises $100M more, for rollup strategy",2009-01-08 18:37:15,2009-01-08 18:38:28
12,12,f:1846,Roll Up Strategy,2007-05-01,250000000.0,USD,http://venturebeat.com/2007/07/09/bertram-capital-raises-100m-more-for-rollup-strategy/,,2009-01-08 18:38:28,2009-01-08 18:38:28
13,13,f:1857,Venture capital Funds,2007-10-04,250000000.0,USD,http://venturebeat.com/2007/10/04/braemar-energy-ventures-raises-250-fund-one-of-largest-clean-tech-funds-yet/,"Braemar Energy Ventures raises $250 fund, one of largest clean-tech funds yet",2009-01-10 12:30:00,2009-01-10 12:30:00
14,14,f:105,Balderton Capital IV,2009-01-12,430000000.0,USD,http://www.techcrunch.com/?p=37231,"Balderton raises Â£285m fund, but donât expect much for your early stage startup",2009-01-12 23:57:28,2013-10-28 22:31:07
15,15,f:1363,Pentech Fund I,2001-07-12,22500000.0,GBP,,,2009-01-13 15:42:43,2009-01-14 06:33:07
16,16,f:1363,Pentech Fund II,2008-07-19,45300000.0,GBP,http://www.pentechvc.com/news100908.html,Pentech Ventures Completes The Final Close of its Second Software Investment Fund,2009-01-13 15:42:43,2009-08-20 17:13:50
17,17,f:1868,Cisco-Pentagon-Intelsat communications,2007-04-01,200000000.0,USD,http://venturebeat.com/2007/04/09/concerto-advisors-to-raise-200m-for-cisco-pentagon-intelsat-communications-deal/,Concerto Advisors to raise up to $200M for deals related to Cisco-Pentagon-Intelsat communications accord,2009-01-13 17:00:55,2009-01-13 17:00:55
18,18,f:745,"Foundry Venture Capital 2007, L.P.",2007-09-20,225000000.0,USD,http://venturebeat.com/2007/09/20/from-mobius-venture-capital-ashes-arises-foundry-group-with-160m-plus-fund/,"From Mobius Venture Capital ashes, arises Foundry Group with $160M-plus fund",2009-01-15 15:38:27,2011-06-16 14:28:18
19,19,f:166,venture fund,2007-09-20,365000000.0,USD,http://venturebeat.com/2007/09/20/lehman-brothers-raises-365m-venture-fund/,Lehman Brothers raises $365M venture fund,2009-01-15 15:43:40,2009-01-15 15:43:40
20,20,f:1882,Exchange Traded Funds,2007-09-19,10000000.0,USD,http://venturebeat.com/2007/09/19/xshares-raises-10m-for-exchange-traded-funds-despite-struggle/,XShares raises $10M for exchange traded funds despite struggle,2009-01-15 17:25:55,2009-01-15 17:25:55
21,21,f:1914,Second Fund,2008-05-21,100000000.0,USD,http://venturebeat.com/2008/05/21/canopy-ventures-raises-100m-second-fund-for-it-and-life-science/,Venture Beat,2009-01-19 04:57:12,2009-01-19 04:57:12
22,22,f:1924,Fund 1,2008-07-11,250000000.0,USD,http://venturebeat.com/2008/07/11/deep-fork-ventures-raises-500m-fund/,Deep Fork Ventures closes $500M fund,2009-01-20 05:45:20,2009-10-08 18:37:14
23,23,f:101,Fund 4,2010-08-30,250000000.0,USD,http://venturebeat.com/2008/02/08/bluerun-ventures-raises-initial-200m-fund-for-consumer-and-mobile-investments/,Venture Beat,2009-01-20 05:54:52,2010-08-27 17:59:20
24,24,f:318,Fund 8,2008-02-04,303000000.0,USD,http://venturebeat.com/2008/02/04/advanced-technology-ventures-closes-new-303m-fund/,Advanced Technology Ventures closes new $303M fund,2009-01-20 06:43:59,2009-01-20 06:43:59
25,25,f:17,Sequoia India III,2007-08-17,300000000.0,USD,http://venturebeat.com/2007/08/13/sequoia-india-about-to-finish-raising-280m-fund/,Sequoia India about to finish raising $280M fund,2009-01-20 07:15:32,2009-01-20 07:15:32
26,26,f:123,"2007 ""Consumer"" Fund",2007-07-09,300000000.0,USD,http://venturebeat.com/2007/07/09/highland-capital-launches-300m-consumer-vc-fund/,Highland Capital launches $300M consumer VC fund,2009-01-21 03:43:12,2009-01-21 03:43:12
27,27,f:137,Battery Fund,2007-07-06,750000000.0,USD,http://venturebeat.com/2007/07/06/svb-capital-and-battery-raise-latest-vc-funds-battery-on-a-roll/,SVB Capital and Battery raise latest VC funds â Battery on a roll,2009-01-21 03:45:49,2013-10-01 18:53:10
